Job-Title,Agency,Post-Level,Location,Deadline,Category,Job-Link
* Knowledge Management and Advocacy Analyst,UNCDF,NPSA-9,"Suva, Fiji","Mar-8-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16365
* Regional Operations Analyst (Nationals Only),UNCDF,NOB,"Suva, Fiji","Mar-8-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16588
* Analista de Grupo Tematico (16 vagas) (Office Based),UNDP,NPSA-8,Brazil,"Mar-8-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16708
* Strategic Foresight Advisor IPSA 12 (Home Based),UNDP,,Home Based,"Mar-8-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16601
* Finance Associate,UNDP,G7,"Bridgetown, Barbados","Mar-8-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16606
* Administrative and Travel Assistant,UNDP,G5,Kazakhstan,"Mar-8-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16589
Chauffeur projet Humanitaire,UNWomen,SB-1,"ABIDJAN,  COTE d'IVOIRE                 ","Mar-9-24
",External,cj_view_job.cfm?cur_job_id=115495
Expert-e humanitaire,UNWomen,SB-4,"ABIDJAN,  COTE d'IVOIRE                 ","Mar-9-24
",External,cj_view_job.cfm?cur_job_id=115494
* Driver_Short-Term,UNDP,NPSA-3,"Suva, Fiji","Mar-10-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16628
* Driver_FSM,UNDP,NPSA-3,"Pohnpei, Micronesia, Federated States of","Mar-10-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16629
* Systems Development Specialist,UNV,P3,"Bonn, Germany","Mar-10-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16557
* ICT Associate,UNDP,G6,"Panama City, Panama","Mar-11-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16179
* BioInformatician BGSI,UNDP,NPSA-6,Indonesia,"Mar-11-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16060
* Executive Associate,UNDP,G7,"Dhaka, Bangladesh","Mar-11-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16622
* Analista de Finanzas,UNDP,NPSA-8,"Santo Domingo, Dominican Republic","Mar-11-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16582
* Project Associate (multiple post),UNDP,NPSA-7,"Chisinau, Moldova","Mar-11-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/15777
* Special Assistant to the Chief of Staff & Director,UNDP,P4,"New York, United States","Mar-11-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16347
Human Resources Intern,UNDP,Intern,"New York,  UNITED STATES OF AMERICA      ","Mar-12-24
",External,cj_view_job.cfm?cur_job_id=115509
Regional Coordination Specialist,UNWomen,P-4,"Dakar,  SENEGAL                       ","Mar-12-24
",External,cj_view_job.cfm?cur_job_id=115499
* Finance Assistant,UNDP,G5,"Kinshasa, Congo, The Democratic Republic of the","Mar-12-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16623
* Procurement Assistant (NPSA-5),UNDP,NPSA-5,"Dhaka, Bangladesh","Mar-12-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16635
* Policy Specialist (Knowledge Management) - IPSA 11,UNDP,IPSA-11,"New York, United States","Mar-12-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16646
Communications Intern - New York or remote,UNDP,Intern,"New York,  UNITED STATES OF AMERICA      ","Mar-13-24
",External,cj_view_job.cfm?cur_job_id=113871
* Finance Associate - UNDP Moldova Country Office,UNDP,G6,"Chisinau, Moldova","Mar-13-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16615
* Analista de Comunicação (Office Based),UNDP,NPSA-8,"Brasilia, Brazil","Mar-13-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16650
"* Partnership and Outreach Coordinator, IPSA 10 - UNCDF - NAT - Kigali, Rwanda",UNCDF,IPSA-10,"Kigali, Rwanda","Mar-13-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16651
* Communication Analyst,UNDP,P2,"New York, United States","Mar-13-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16680
Communications Intern,UNDP,Intern,"Brussels,  BELGIUM                       ","Mar-14-24
",External,cj_view_job.cfm?cur_job_id=115533
* Finance Assistant (GS5) - UNDP Moldova Country Office,UNDP,,"Chisinau, Moldova","Mar-14-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16699
* Renovation Project Manager,UNDP,IPSA-11,"New York, United States","Mar-14-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16156
* Information Management Officer - UNOCHA - Ressortissants nationaux uniquement,UNDP,NOA,"Bujumbura, Burundi","Mar-14-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16691
* ICT Assistant and Support,UNDP,NB3,"Port-au-Prince, Haiti","Mar-14-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/15965
* Assistant to the Assistant Resident Representantive for Programme (ARRP) (Office Based),UNDP,NPSA-4,"Brasilia, Brazil","Mar-14-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16704
Intern - Communications and Outreach,UNDP,Intern,"Bangkok,  THAILAND                      ","Mar-15-24
",External,cj_view_job.cfm?cur_job_id=115541
* Administration and Finance Analyst,UNDP,NPSA-8,"Pokhara, Nepal","Mar-15-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16718
* Procurement and Administration Analyst (Nationals Only),UNCDF,NOA,"Kigali, Rwanda","Mar-15-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16724
Social Media Intern,UNDP,Intern,Home-based,"Mar-18-24
",External,cj_view_job.cfm?cur_job_id=115537
Visual Design Intern,UNDP,Intern,Home-Based,"Mar-18-24
",External,cj_view_job.cfm?cur_job_id=115538
Video-Photo Intern,UNDP,Intern,"New York,  UNITED STATES OF AMERICA      ","Mar-18-24
",External,cj_view_job.cfm?cur_job_id=115548
* Investigations Assessment Analyst - IPSA 8 - Homebased,UNDP,IPSA-8,Home Based,"Mar-18-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16748
"* Manager, Corporate Financial Reporting and Agency Services",UNDP,P5,"Kuala Lumpur, Malaysia","Mar-18-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/15971
"* Chief, Payroll Finance Oversight and HR Finance Lead",UNDP,P4,"Kuala Lumpur, Malaysia","Mar-18-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16627
Digital Transformation Internship: Global Call for 2024,UNDP,Intern,Home-Based,"Sep-30-24
",External,cj_view_job.cfm?cur_job_id=115502
National Feminist Economist/Gender and Economics Policy Specialist,UNWomen,NO-C,"ABIDJAN,  COTE d'IVOIRE                 ","Nov-24-24
",External,cj_view_job.cfm?cur_job_id=114647
* Programme Associate – Sustainable Development,UNDP,NPSA-6,"Kuwait, Kuwait","Mar-4-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16462
"* Biodiversity Associate (Part time, 80%)",UNDP,NPSA-7,"Tirana, Albania","Mar-4-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16450
"* Country Coordinator (Duty Station: Avarua, Cook Islands)",UNCDF,IPSA-9,Cook Islands,"Mar-5-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16439
* Regional Project Manager,UNDP,IPSA-10,"Istanbul, Türkiye","Mar-5-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16509
* Project Analyst,UNDP,NPSA-8,"Dushanbe, Tajikistan","Mar-5-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16456
* SDG Innovation Lab Manager,UNDP,NPSA-9,"Yerevan, Armenia","Mar-5-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16443
"* Operations Associate, G7, FTA - National Position",UNDP,G7,"Kyiv, Ukraine","Mar-6-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16535
* Policy & Legal Officer,UNDP,NPSA-8,"Dushanbe, Tajikistan","Mar-6-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16504
* Project Analyst,UNDP,NPSA-9,"Vientiane, Lao People's Democratic Republic","Mar-7-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16396
* Project Component Manager,UNDP,NPSA-9,"Chisinau, Moldova","Mar-7-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16561
* Risk Management Specialist - Home based,UNDP,IPSA-10,"New York, United States","Mar-7-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16706
* Quality Assurance Specialist - Home-based,UNDP,IPSA-10,"New York, United States","Mar-7-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16703
* PMO Intern,UNDP,,Home Based,"Mar-7-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16516
* Project Manager,UNDP,NPSA-9,"Tirana, Albania","Mar-7-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16532
* Asistente Técnico(a) de Proyecto (Proyecto de transformación educativa Protagonistas del Cambio) - NPSA5,UNDP,NPSA-5,"Santiago, Chile","Mar-7-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16701
* Project Administrative Associate,UNDP,G6,"Tashkent, Uzbekistan","Mar-7-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16566
* Expert en Développement Local,UNDP,NPSA-9,Tunisia,"Mar-8-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16104
* Asociado(a) de Coordinacion Plan de Actualizacion IPTs,UNDP,NPSA-7,"Santiago, Chile","Mar-8-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16730
* Associate Human Rights Officer-OHCHR-Nationals Only,UNDP,NOB,"Chisinau, Moldova","Mar-8-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16399
* Finance Analyst,UNDP,NPSA-9,"Kabul, Afghanistan","Mar-10-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16610
* Geographical Information Systems (GIS) Specialist,UNDP,SB4,"Tashkent, Uzbekistan","Mar-10-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16590
* Programme Associate,UNDP,SB3,"Tashkent, Uzbekistan","Mar-10-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16594
* Database Assistant,UNDP,SB3,"Tashkent, Uzbekistan","Mar-10-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16587
* Project Assistant (Amman) - NPSA 5,UNDP,NPSA-5,"Amman, Jordan","Mar-11-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16613
* Procurement Assistant,UNDP,G5,"New Delhi, India","Mar-11-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16608
* Programme Analyst - nationals of Türkiye only,UNDP,NPSA-8,"Istanbul, Türkiye","Mar-11-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16619
* Project Manager,UNDP,NPSA-11,"Lahore, Pakistan","Mar-12-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16639
"* Practicante de diseño de información, comunicación y creación de narrativas",UNDP,,Mexico,"Mar-13-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16675
"* Practicante de experimentación: diseño, implementación y evaluación de indicadores, experimentos y análisis de datos cuantitativos.",UNDP,,Mexico,"Mar-13-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16677
"* Practicante de exploración: análisis de información, minería de datos y administración de bases de datos.",UNDP,,Mexico,"Mar-13-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16678
"* Practicante de mapeo de soluciones: análisis cualitativo, estudios etnográficos, trabajo comunitario e investigación social.",UNDP,,Mexico,"Mar-13-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16679
* ICT Associate (Afghan Nationals Only),UNDP,NB3,"Kabul, Afghanistan","Mar-13-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16656
* Project Analyst- Recycling and Upcycling,UNDP,NPSA-9,"Pokhara, Nepal","Mar-14-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16684
* Project Analyst,UNDP,IPSA-9,"New York, United States","Mar-14-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16578
"* Communication, Monitoring and Evaluation Analyst",UNDP,NPSA-8,"Pokhara, Nepal","Mar-15-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16721
* National Project Manager,UNDP,NPSA-10,"Pokhara, Nepal","Mar-15-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16725
* Chargé(e) National(e) des Affaires Humanitaires - UNOCHA - Staff National uniquement,UNDP,NOB,"Dori, Burkina Faso","Mar-15-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16404
* Assistant Human Rights Officer - OHCHR - Nationals Only,UNDP,NOA,"Chisinau, Moldova","Mar-15-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16400
* Civil Engineer (Analyst),UNDP,NPSA-8,"Sarajevo, Bosnia and Herzegovina","Mar-15-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16700
* Administrative Associate GS6,UNDP,G6,"Algiers, Algeria","Mar-17-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16733
* Procurement Associate- 2 positions,UNDP,NPSA-6,"Sarajevo, Bosnia and Herzegovina","Mar-18-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16747
* Administrative Clerk,UNDP,NPSA-4,"Pokhara, Nepal","Mar-18-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16742
* Call for Application - Roster: UN Women Advisory Committee on Oversight (ACO),UNWomen,,"New York, United States","Dec-31-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/requisitions/job/14948
