Job-Title,Agency,Post-Level,Location,Deadline,Category,Job-Link
"* PFM Fellowship Coordinator (Home based with regular travel to the Pacific region, part-time 50%)",UNDP,IPSA-10,"Suva, Fiji","Mar-13-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16653
* MEL and Communication Manager,UNDP,NPSA-10,"Suva, Fiji","Mar-13-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16660
* Administrative and Finance Associate,UNDP,G6,Bosnia and Herzegovina,"Mar-13-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16304
* Coordinateur (trice)- Justice,UNDP,NPSA-10,Tunisia,"Mar-13-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16668
* Project Assistant - The Activating Village Courts in Bangladesh Phase III Project (AVCB III),UNDP,NPSA-4,"Dhaka, Bangladesh","Mar-14-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16687
* Project Administrative Associate,UNDP,NPSA-7,"Suva, Fiji","Mar-15-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16717
* Coordonnateur(trice) du secrétariat du Fonds de consolidation de la paix des Nations Unies (PBF),UNDP,P4,"Kinshasa, Congo, The Democratic Republic of the","Mar-15-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16729
"* Engineering Analyst, NPSA-9, DS- Kyiv (Nationals Only)",UNDP,NPSA-9,"Kyiv, Ukraine","Mar-15-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16714
International Consultant - National Action Plan on Women Peace and Security (Retainer),UNWomen,International Consultant,Home-based with possible field missions in the Asia-Pacific region,"Mar-17-24
",External,cj_view_job.cfm?cur_job_id=115553
* Statistician/Project Associate,UNDP,NPSA-6,"Pristina, Kosovo (as per UNSCR 1244) ","Mar-17-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16720
* Joint Project Associate,UNDP,NPSA-6,"Sarajevo, Bosnia and Herzegovina","Mar-18-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16753
* Communications and Outreach Analyst,UNDP,NPSA-8,"Dhaka, Bangladesh","Mar-18-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16740
* Communication Associate,UNDP,NPSA-7,"Dhaka, Bangladesh","Mar-18-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16741
* Capacity Development Analyst,UNDP,NPSA-9,"Dhaka, Bangladesh","Mar-18-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16745
* Gender Analyst,UNDP,NPSA-8,"Dhaka, Bangladesh","Mar-18-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16743
* Coordination and Reporting Officer,UNDP,IPSA-9,"Kampala, Uganda","Mar-18-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16735
* Joint Programme Coordinator (JPC),UNDP,NPSA-10,"Podgorica, Montenegro","Mar-18-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16738
* Deputy Head of Peace Support Program (Specialist),UNDP,NPSA-11,"Addis Ababa, Ethiopia","Mar-18-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16744
"* UN Women FTA: Project Coordination Specialist, P-3",UNWomen,,"New York, United States","Mar-19-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/requisitions/job/16626
"Governance, Peace and Security Technical Specialist",UNWomen,P-3,"Port Moresby,  PAPUA NEW GUINEA              ","Mar-20-24
",External,cj_view_job.cfm?cur_job_id=115555
* Call for Applications - UN Women Roster: Human Rights Due Diligence Policy on United Nations support to non-United Nations Security Forces (HRDDP) Risk Assessments,UNWomen,,Home Based,"Mar-26-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/requisitions/job/16575
Internship with Innovation Team,UNDP,Intern,"(Home-Based),  TURKEY                        ","Mar-10-24
",External,cj_view_job.cfm?cur_job_id=115486
"Data Science Fellow (ML/NLP/LLMs) (Full-Time, Home-based)",UNDP,Other,"Istanbul,  TURKEY                        ","Mar-10-24
",External,cj_view_job.cfm?cur_job_id=115488
* Digital and Agri-Finance Specialist,UNCDF,IPSA-10,"Port Moresby, Papua New Guinea","Mar-11-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16611
